 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(8, 1)" -1.6678 0.525 0.0156 -2.6574 -0.6583 1241.9808 1.0005
"p((8, 1))_0" 0.4865 0.2182 0.0052 0.0955 0.8876 1502.6793 1.0003
"p((8, 1))_1" 0.2491 0.0984 0.003 0.0808 0.4405 1103.4179 1.0
"p((8, 1))_2" 0.2116 0.0958 0.0031 0.0553 0.4041 947.7969 1.0005
"p((8, 1))_3" 0.2059 0.0951 0.0031 0.0452 0.3913 921.8484 1.0007
"p((8, 1))_4" 0.205 0.0948 0.0031 0.0447 0.3894 916.9306 1.0008
"p((8, 1))_5" 0.2048 0.0947 0.0031 0.0435 0.3882 916.025 1.0008
"p((8, 1))_6" 0.2048 0.0947 0.0031 0.0435 0.3881 915.8633 1.0008
"p((8, 1))_7" 0.2048 0.0947 0.0031 0.0435 0.3882 915.8352 1.0008
"p((8, 1))_8" 0.2048 0.0947 0.0031 0.0436 0.3883 915.8305 1.0008
"p((8, 1))_9" 0.2048 0.0947 0.0031 0.0436 0.3883 915.8297 1.0008
"p((8, 1))_10" 0.2048 0.0947 0.0031 0.0436 0.3883 915.8296 1.0008
