 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(53, 3)" -0.0063 0.9923 0.013 -1.8748 1.9964 5697.1976 0.9999
"p((53, 3))_0" 0.5019 0.2245 0.003 0.1127 0.9254 5699.8239 1.0002
"p((53, 3))_1" 0.6006 0.2052 0.0026 0.2135 0.9428 5593.6452 0.9998
"p((53, 3))_2" 0.6146 0.2289 0.003 0.192 0.9706 5544.4684 0.9999
"p((53, 3))_3" 0.6166 0.2331 0.003 0.1795 0.9658 5532.9412 0.9999
"p((53, 3))_4" 0.6169 0.2338 0.003 0.1782 0.9658 5530.4405 0.9999
"p((53, 3))_5" 0.617 0.234 0.003 0.1779 0.9658 5529.9114 0.9999
"p((53, 3))_6" 0.617 0.234 0.003 0.1779 0.9658 5529.7996 0.9999
"p((53, 3))_7" 0.617 0.234 0.003 0.1778 0.9658 5529.776 0.9999
"p((53, 3))_8" 0.617 0.234 0.003 0.1778 0.9658 5529.7709 0.9999
"p((53, 3))_9" 0.617 0.234 0.003 0.1778 0.9658 5529.7699 0.9999
"p((53, 3))_10" 0.617 0.234 0.003 0.1778 0.9658 5529.7696 0.9999
