 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(40, 1)" -0.0083 0.9982 0.0137 -2.0164 1.8792 6176.4232 1.0
"p((40, 1))_0" 0.501 0.225 0.003 0.092 0.904 5890.3787 1.0006
"p((40, 1))_1" 0.6004 0.2049 0.0028 0.2278 0.9542 6161.1777 0.9998
"p((40, 1))_2" 0.6145 0.2293 0.0031 0.18 0.9625 6065.0615 0.9999
"p((40, 1))_3" 0.6165 0.2335 0.0032 0.1832 0.9728 6045.1771 0.9999
"p((40, 1))_4" 0.6168 0.2343 0.0032 0.1826 0.9731 6041.7643 0.9999
"p((40, 1))_5" 0.6169 0.2344 0.0032 0.1824 0.9731 6041.2407 0.9999
"p((40, 1))_6" 0.6169 0.2344 0.0032 0.1824 0.9731 6041.1703 0.9999
"p((40, 1))_7" 0.6169 0.2344 0.0032 0.1824 0.9731 6041.1634 0.9999
"p((40, 1))_8" 0.6169 0.2344 0.0032 0.1824 0.9731 6041.1636 0.9999
"p((40, 1))_9" 0.6169 0.2344 0.0032 0.1824 0.9731 6041.1639 0.9999
"p((40, 1))_10" 0.6169 0.2344 0.0032 0.1824 0.9731 6041.1641 0.9999
