 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(17, 3)" -1.721 0.543 0.035 -2.7795 -0.7565 191.8983 1.0019
"p((17, 3))_0" 0.4971 0.2205 0.0128 0.1134 0.9077 250.5042 1.0018
"p((17, 3))_1" 0.2425 0.0987 0.0066 0.0616 0.4312 185.9891 1.0015
"p((17, 3))_2" 0.2033 0.0939 0.0061 0.043 0.386 188.153 1.002
"p((17, 3))_3" 0.1974 0.0926 0.006 0.0426 0.3798 190.5592 1.0019
"p((17, 3))_4" 0.1964 0.0922 0.006 0.0429 0.3789 191.1341 1.0018
"p((17, 3))_5" 0.1963 0.0921 0.006 0.0425 0.3781 191.2554 1.0018
"p((17, 3))_6" 0.1962 0.0921 0.006 0.0425 0.3781 191.2809 1.0018
"p((17, 3))_7" 0.1962 0.0921 0.006 0.0392 0.3748 191.2862 1.0018
"p((17, 3))_8" 0.1962 0.0921 0.006 0.0392 0.3748 191.2874 1.0018
"p((17, 3))_9" 0.1962 0.0921 0.006 0.0392 0.3748 191.2876 1.0018
"p((17, 3))_10" 0.1962 0.0921 0.006 0.0392 0.3748 191.2877 1.0018
