 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(69, 3)" -0.0145 1.0 0.0136 -1.8856 2.0161 5868.3648 0.9998
"p((69, 3))_0" 0.5011 0.2251 0.0025 0.097 0.906 6208.4614 0.9998
"p((69, 3))_1" 0.5986 0.2041 0.0027 0.2195 0.9468 6025.481 0.9998
"p((69, 3))_2" 0.6123 0.2278 0.0029 0.1871 0.9687 5996.1882 0.9998
"p((69, 3))_3" 0.6144 0.2319 0.003 0.1803 0.9685 5985.5084 0.9998
"p((69, 3))_4" 0.6147 0.2326 0.003 0.1794 0.9691 5982.9923 0.9998
"p((69, 3))_5" 0.6148 0.2327 0.003 0.1792 0.9691 5982.4883 0.9998
"p((69, 3))_6" 0.6148 0.2328 0.003 0.1792 0.9691 5982.3942 0.9998
"p((69, 3))_7" 0.6148 0.2328 0.003 0.1792 0.9691 5982.3775 0.9998
"p((69, 3))_8" 0.6148 0.2328 0.003 0.1792 0.9691 5982.3748 0.9998
"p((69, 3))_9" 0.6148 0.2328 0.003 0.1792 0.9691 5982.3743 0.9998
"p((69, 3))_10" 0.6148 0.2328 0.003 0.1792 0.9691 5982.3743 0.9998
