 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(10, 3)" -0.0204 0.5412 0.0087 -1.0645 1.0475 4374.5969 1.0001
"p((10, 3))_0" 0.4731 0.2197 0.0027 0.0806 0.8836 5471.1189 0.9997
"p((10, 3))_1" 0.6043 0.1212 0.0019 0.3651 0.8297 4626.1035 1.0002
"p((10, 3))_2" 0.6301 0.1394 0.0022 0.3557 0.8774 4667.6811 1.0001
"p((10, 3))_3" 0.6348 0.144 0.0022 0.3435 0.8802 4723.4298 1.0001
"p((10, 3))_4" 0.6357 0.1449 0.0023 0.3417 0.8807 4736.4692 1.0001
"p((10, 3))_5" 0.6359 0.145 0.0023 0.3618 0.9016 4739.2306 1.0001
"p((10, 3))_6" 0.636 0.1451 0.0023 0.3617 0.9016 4739.7995 1.0001
"p((10, 3))_7" 0.636 0.1451 0.0023 0.3616 0.9016 4739.9153 1.0001
"p((10, 3))_8" 0.636 0.1451 0.0023 0.3616 0.9016 4739.9386 1.0001
"p((10, 3))_9" 0.636 0.1451 0.0023 0.3616 0.9016 4739.9433 1.0001
"p((10, 3))_10" 0.636 0.1451 0.0023 0.3616 0.9016 4739.9442 1.0001
