 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(3, 3)" -0.5351 0.2943 0.0044 -1.1117 0.0537 4541.3502 1.0004
"p((3, 3))_0" 0.5864 0.2062 0.0028 0.1863 0.9406 5061.7819 1.0003
"p((3, 3))_1" 0.5125 0.0752 0.001 0.3672 0.6564 5602.0299 0.9998
"p((3, 3))_2" 0.4946 0.0862 0.0013 0.3242 0.6604 4748.8893 1.0003
"p((3, 3))_3" 0.4902 0.0918 0.0014 0.3156 0.6745 4592.2091 1.0004
"p((3, 3))_4" 0.4892 0.0932 0.0014 0.3108 0.6743 4561.4069 1.0004
"p((3, 3))_5" 0.4889 0.0935 0.0014 0.3089 0.6733 4554.4011 1.0004
"p((3, 3))_6" 0.4889 0.0936 0.0014 0.3087 0.6734 4552.7446 1.0004
"p((3, 3))_7" 0.4889 0.0936 0.0014 0.3087 0.6735 4552.3483 1.0004
"p((3, 3))_8" 0.4889 0.0936 0.0014 0.3087 0.6735 4552.2529 1.0004
"p((3, 3))_9" 0.4889 0.0936 0.0014 0.3087 0.6735 4552.2299 1.0004
"p((3, 3))_10" 0.4889 0.0936 0.0014 0.3087 0.6735 4552.2244 1.0004
