 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
"sdy_(24, 3)" -0.8361 0.4861 0.0171 -1.8788 0.0355 807.8072 1.004
"p((24, 3))_0" 0.4325 0.2152 0.0049 0.0648 0.8389 1662.0007 1.0001
"p((24, 3))_1" 0.406 0.1132 0.0036 0.1933 0.6288 984.5068 1.0028
"p((24, 3))_2" 0.4019 0.1316 0.0044 0.1582 0.6551 884.8429 1.0033
"p((24, 3))_3" 0.4016 0.137 0.0046 0.146 0.6571 883.5352 1.0033
"p((24, 3))_4" 0.4016 0.1382 0.0046 0.1444 0.6589 884.6512 1.0032
"p((24, 3))_5" 0.4016 0.1385 0.0046 0.144 0.6589 885.0239 1.0032
"p((24, 3))_6" 0.4016 0.1386 0.0046 0.144 0.659 885.1189 1.0032
"p((24, 3))_7" 0.4016 0.1386 0.0046 0.144 0.6591 885.1418 1.0032
"p((24, 3))_8" 0.4016 0.1386 0.0046 0.144 0.6591 885.1473 1.0032
"p((24, 3))_9" 0.4016 0.1386 0.0046 0.144 0.6591 885.1485 1.0032
"p((24, 3))_10" 0.4016 0.1386 0.0046 0.144 0.6591 885.1488 1.0032
