,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
Intercept,0.30817173698336625,0.02975961299140564,0.0008277033193584028,0.2515550490092536,0.3679255647163383,1367.1541326579104,1.0004090497343976
nNodes,-0.2341157543344746,0.03796791927627791,0.0009322496220162601,-0.3102775370851273,-0.16191661809017535,1691.4402397958452,1.0001786039914784
Pint,-0.08362903638775163,0.023211539757392218,0.0005535631687355704,-0.12896547969675773,-0.03920167683216603,2064.272285573912,0.9998066036130173
Pdam,-0.3819716678851461,0.03809238337977371,0.001005942147695346,-0.45617245401624823,-0.30781267106844934,1404.4277739047745,1.0002348615173737
ResCap,0.39446702981008475,0.042700449947393374,0.0011786884972919862,0.304924368979497,0.4716841112058825,1371.3482624115381,0.9999061644766626
topoParam,0.016051447140887083,0.030677822583090965,0.0006760591784232642,-0.043237835562248826,0.07524941677073976,2310.3369368402077,0.9998219910916256
nLayers,-0.19185186199321946,0.020092616848108414,0.00042709866754467584,-0.23044776910184064,-0.15293646226438992,2426.31816288587,0.999761342631337
lam,17.36122379560362,2.603456610026567,0.06030823882968922,12.664197820238051,22.74811038208026,1883.1091166873232,1.0008417785661217
