,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
Intercept,0.3233724512744551,0.022561688616898206,0.0005627942009059099,0.281026704018643,0.37023568460545286,1679.4871139578695,0.9997500544400745
nNodes,-0.1798351784256596,0.022936357155045238,0.0005753569868340203,-0.22550044815082382,-0.1361224911815219,1714.829238350511,0.9997961121900166
Pint,-0.0534964124095616,0.0155469542684546,0.0002861816880304429,-0.08437452598331528,-0.024468729509972025,3089.457237883817,0.9999223694583691
Pdam,-0.2126861208795798,0.02474186059750422,0.0005606784446242419,-0.2602831139626747,-0.16622272955572415,1873.2289893848651,0.9998965766551348
ResCap,0.2970312945038015,0.027734281371863408,0.0008006747573497226,0.24375386961918422,0.3538414711635038,1280.6073534969184,0.9998210635761585
topoParam,0.037770370070466804,0.01698881475973512,0.00032524832015496877,0.004635435918379225,0.0719052347784019,2718.4326319731986,0.9997937454706122
nLayers,-0.1384214305375607,0.016563457661591556,0.0003256869754763885,-0.17230427809438725,-0.10698797194018471,2659.6059466553534,0.9999744635078389
lam,21.704470356397245,3.0196772711842197,0.06593915964226826,15.661821397687604,27.315005576801344,2362.5676106169126,1.0002897921020086
