 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -7.212 5.4141 0.1394 -17.7792 3.1338 1500.6949 0.9997
w_n_t_1 -0.1889 0.8478 0.0186 -1.9326 1.4327 2306.5827 0.9997
w_a_t_1 -1.0896 0.887 0.0189 -2.9469 0.5436 2051.0712 1.0006
w_d_t_1 9.5782 1008.8192 22.1572 -1961.0132 1955.3242 2309.1207 0.9999
w_c_t_1 5.7315 6.365 0.1412 -6.9252 17.9636 1833.6731 0.9997
y_c_t_1 1.1288 5.1012 0.1066 -8.8801 11.1603 1883.5391 0.9998
Node 0.607 2.2074 0.0579 -3.9318 4.7826 1426.076 0.9997
Under_Supply -12.3803 5.4278 0.1428 -23.3736 -2.134 1296.4747 0.9999
Flow 2.2443 5.6735 0.1582 -8.4368 13.7977 1276.3462 0.9997
Arc 1.1341 1.0252 0.0239 -0.8963 3.0463 1625.9729 0.9999
