 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.6112 4.6778 0.1167 -11.3305 7.2272 1516.7686 0.9997
w_n_t_1 1.674 1.8475 0.0413 -1.7612 5.4058 2038.0898 0.9997
w_a_t_1 2.9021 1.5593 0.0321 -0.1342 5.8258 2467.6886 0.9997
w_d_t_1 9.6374 1027.0909 15.1901 -1830.8692 2131.7655 4282.0618 0.9998
w_c_t_1 -2.2086 8.16 0.1804 -19.0936 13.1854 1704.2677 0.9999
y_c_t_1 -1.1956 6.3977 0.1208 -13.6774 11.574 2419.8861 1.0003
Node 4.5147 1.8925 0.0384 0.8935 8.2192 2081.2345 0.9997
Under_Supply -7.7581 4.1097 0.1045 -16.2847 -0.4228 1530.543 0.9998
Flow -5.2021 4.3011 0.0878 -13.4948 2.9372 2091.8463 0.9998
Arc 1.5605 0.8416 0.0149 -0.0131 3.2688 2969.1292 0.9997
