 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -5.4814 2.0386 0.0423 -9.7076 -1.7108 2298.6518 0.9997
w_n_t_1 0.2648 1.1529 0.0228 -1.9916 2.5259 2510.033 1.0002
w_a_t_1 5.0146 1.1439 0.0224 2.8037 7.2537 2471.6048 0.9997
w_d_t_1 -23.0323 997.2098 16.6792 -1883.5763 1886.2882 3587.9348 0.9998
w_c_t_1 -1.4004 2.4371 0.0511 -6.0277 3.6225 1794.3562 1.0004
y_c_t_1 -3.7038 1.9276 0.0359 -7.4025 0.0089 2670.9507 0.9997
Node -0.8491 0.7507 0.0141 -2.3631 0.5665 2237.7954 1.0001
Under_Supply -6.8924 2.172 0.0466 -11.3579 -2.7863 1524.283 1.0
Flow 8.3085 2.8114 0.0634 2.9113 13.9019 1565.8678 0.9999
Arc -0.9963 0.5913 0.01 -2.1929 0.12 2819.9263 0.9997
