 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -4.4182 1.1061 0.0216 -6.492 -2.2667 2393.9036 1.0
w_n_t_1 1.674 0.5385 0.0097 0.5828 2.6839 3107.3612 1.0003
w_a_t_1 2.0224 0.5997 0.0095 0.8537 3.1517 2920.9959 1.0001
w_d_t_1 -1.8583 0.4908 0.0087 -2.8261 -0.9015 3104.7958 1.0006
w_c_t_1 4.1252 2.003 0.044 0.2045 8.0007 1758.0491 0.9998
y_c_t_1 -2.2181 1.9706 0.0396 -6.0042 1.8049 2003.016 0.9998
Node -0.5063 0.4254 0.01 -1.3014 0.3569 1679.184 1.0006
Under_Supply -3.8897 1.7525 0.0428 -7.3418 -0.5791 1417.052 0.9999
Flow 4.2937 1.842 0.0448 0.9666 8.0605 1525.5168 0.9999
Arc 0.3649 0.3352 0.0058 -0.2465 1.0573 3178.8777 0.9997
