 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.4363 1.0579 0.0395 -2.3215 1.7741 582.1673 0.9998
w_n_t_1 1.4182 0.6727 0.0228 0.0853 2.7673 835.9673 1.0005
w_a_t_1 2.8412 0.583 0.0241 1.7211 4.0214 343.1437 0.9999
w_d_t_1 -771.651 597.3771 28.7097 -1939.8909 -3.6926 362.6325 0.9997
w_c_t_1 -0.9667 1.8464 0.0661 -4.2649 3.2968 684.3769 0.9999
y_c_t_1 -3.1646 1.8826 0.0835 -6.8969 0.4253 426.1354 1.0019
Node 0.3127 0.562 0.0195 -0.7968 1.4021 746.5645 0.9997
Under_Supply -3.7532 1.621 0.0832 -6.7673 -0.4071 288.7612 1.0055
Flow 0.395 2.1202 0.1098 -3.7907 4.5388 305.2204 1.0057
Arc 0.0275 0.357 0.0132 -0.6554 0.7245 658.7963 1.0002
