 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -4.9856 0.9996 0.0206 -7.1023 -3.1411 2186.6019 0.9997
w_n_t_1 0.3385 0.4239 0.0061 -0.5267 1.131 4158.1028 0.9998
w_a_t_1 0.9016 0.4121 0.0068 0.0942 1.6891 3225.8695 0.9997
w_d_t_1 11.9134 984.8352 15.7716 -1944.4946 1887.6426 3647.3646 0.9997
w_c_t_1 2.8076 2.0466 0.0468 -1.0078 6.9401 1879.6245 0.9998
y_c_t_1 2.4002 1.9723 0.0406 -1.5896 6.1836 2259.62 0.9997
Node 0.9888 0.4059 0.0078 0.1733 1.7464 2626.8037 0.9997
Under_Supply 1.2042 1.1125 0.0257 -1.1002 3.27 1500.4732 0.9997
Flow -2.9498 1.389 0.0306 -5.7258 -0.2818 1685.4963 0.9997
Arc 0.4411 0.3122 0.0054 -0.1631 1.0087 3550.3927 1.0003
