 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1382.9122 578.301 29.3079 -2478.0606 -350.0365 273.903 1.0105
w_n_t_1 -93.0664 56.4362 2.6923 -211.0215 12.7848 274.1002 1.0118
w_a_t_1 -15.3865 105.5398 5.4186 -235.2225 183.4272 258.0 1.0002
w_d_t_1 -48.6085 1015.6096 31.1952 -2042.8348 1909.8528 962.9312 1.0001
w_c_t_1 1309.6027 631.0076 32.7828 155.2505 2596.6729 270.4311 1.0085
y_c_t_1 331.2269 354.6905 16.4416 -393.1185 1011.9312 459.8703 1.0023
Node 147.5719 111.4922 6.1446 -53.5254 390.6042 250.1387 0.9998
Under_Supply -2466.3863 671.0306 35.0785 -3702.07 -1253.2107 316.7372 1.0012
Flow -48.1195 313.9599 16.3054 -636.1225 574.8742 313.4732 1.0004
Arc 25.7399 36.1756 1.5583 -43.176 97.2093 533.2538 1.0021
