 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -34.1384 12.5287 0.3383 -58.9496 -9.5945 1351.1437 1.0
w_n_t_1 2.4034 3.2079 0.079 -4.0332 8.365 1614.3228 1.0002
w_a_t_1 4.0718 2.3502 0.0567 -0.3037 8.7292 1865.1273 1.0
w_d_t_1 -0.7023 1.6659 0.0391 -4.0338 2.3345 1778.4246 0.9997
w_c_t_1 40.9392 14.9943 0.4352 12.9185 70.7672 1274.7796 1.001
y_c_t_1 -4.1804 8.5599 0.2159 -21.0344 12.4368 1478.5603 1.0007
Node 2.0299 4.1002 0.1019 -5.6854 10.2007 1598.8113 1.0018
Under_Supply -27.26 13.6701 0.3722 -53.5891 -0.4173 1284.5629 1.0008
Flow -11.634 10.3648 0.2627 -32.1947 7.8567 1455.4152 1.0
Arc 0.2036 1.2873 0.03 -2.2908 2.7937 1840.4879 1.0012
