 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -4.7291 1.0872 0.0206 -6.9204 -2.6694 2315.4205 0.9998
w_n_t_1 2.284 0.5644 0.0086 1.1521 3.3749 3673.6971 1.0001
w_a_t_1 2.21 0.4178 0.007 1.3708 2.9896 3680.2107 1.0002
w_d_t_1 1.629 982.7773 15.3429 -1896.1207 1960.2133 3860.9528 0.9997
w_c_t_1 2.0126 2.0323 0.0476 -2.1048 5.8721 1765.9518 1.0009
y_c_t_1 -1.0144 1.6778 0.0338 -4.4234 2.0974 2418.9905 1.0002
Node 0.6664 0.4377 0.0079 -0.2199 1.4655 3332.6985 0.9997
Under_Supply -0.2595 1.2085 0.0257 -2.7306 1.9493 1981.0013 1.0001
Flow -2.0215 1.5499 0.0302 -4.9966 1.018 2251.6437 0.9998
Arc 0.3938 0.308 0.0055 -0.1935 0.9975 3190.861 0.9997
