 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 5.0933 3.847 0.1049 -2.2071 12.6924 1443.979 0.9998
w_n_t_1 2.2488 0.6402 0.0137 1.0468 3.5275 2132.9481 1.0001
w_a_t_1 4.2794 0.7806 0.0196 2.8399 5.8391 1587.1112 0.9997
w_d_t_1 -0.834 0.8296 0.0175 -2.3709 0.8777 2295.0689 1.0004
w_c_t_1 5.8736 3.7496 0.0921 -1.7259 12.9611 1665.5824 0.9998
y_c_t_1 -11.2707 3.908 0.0985 -18.5009 -3.7124 1567.2751 0.9997
Node 0.8456 1.9255 0.0498 -3.0068 4.4283 1460.3387 1.0003
Under_Supply -25.5367 4.7068 0.1198 -34.7489 -16.8373 1562.4419 0.9997
Flow -6.1532 4.2159 0.0977 -14.4678 1.7935 1711.2543 0.9997
Arc 0.4333 0.8973 0.0236 -1.3461 2.1414 1485.8616 0.9997
