 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -4.5874 1.1759 0.0264 -6.8484 -2.2605 1788.2712 1.0024
w_n_t_1 0.7783 0.3954 0.0082 0.0108 1.5363 2050.9815 1.0007
w_a_t_1 1.5426 0.3885 0.0062 0.7846 2.3244 3074.6192 0.9997
w_d_t_1 11.4512 986.7894 19.6639 -1792.7387 2054.8704 2586.4191 1.0009
w_c_t_1 3.2127 2.3117 0.0556 -1.2738 7.5746 1711.1533 1.0004
y_c_t_1 3.3225 2.1344 0.0398 -0.9366 7.4467 2713.6327 0.9998
Node -0.8214 0.5297 0.0126 -1.882 0.1863 2002.2386 0.9999
Under_Supply -3.1709 1.4991 0.0434 -6.1268 -0.3885 1236.8019 1.0011
Flow -1.0084 1.9573 0.0564 -4.5022 2.9312 1306.6534 1.0001
Arc 0.1664 0.3463 0.0072 -0.531 0.8215 2321.573 1.0034
