 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -4.3365 1.1404 0.0268 -6.5695 -2.1969 1755.2855 0.9997
w_n_t_1 2.3351 0.5381 0.0098 1.2851 3.4056 2700.2826 1.0005
w_a_t_1 2.6096 0.4819 0.0084 1.6814 3.5227 3233.6796 0.9997
w_d_t_1 8.2957 1004.4596 19.3325 -1860.1036 2055.7468 2861.7418 0.9998
w_c_t_1 -0.6812 2.3624 0.0618 -5.382 3.7928 1445.069 1.0007
y_c_t_1 2.7859 2.008 0.0467 -1.2698 6.4901 2001.2857 1.002
Node 0.3223 0.4442 0.0091 -0.5358 1.187 2224.4529 0.9997
Under_Supply -3.7878 1.4027 0.0358 -6.5099 -1.0754 1504.4024 0.9997
Flow 0.5609 1.6336 0.0396 -2.4985 3.8371 1728.5803 1.0001
Arc -0.3576 0.3259 0.0055 -0.9681 0.2937 3325.9589 0.9999
