 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -190.354 58.9738 1.7689 -311.469 -85.3466 907.2873 0.9997
w_n_t_1 -0.8503 4.2534 0.1033 -9.0063 7.743 1795.0144 1.0009
w_a_t_1 3.8793 3.7638 0.0911 -3.0941 11.5961 1775.848 1.0
w_d_t_1 18.332 1008.6604 23.2242 -1853.6645 2122.0114 1670.326 1.0004
w_c_t_1 157.5083 52.1065 1.469 58.4257 257.2305 1004.6293 0.9998
y_c_t_1 79.9868 32.8893 0.9496 17.2873 143.1687 1053.9476 0.9998
Node 8.6947 7.6115 0.1871 -5.0473 23.8018 1340.2869 1.0
Under_Supply -33.6785 29.6094 0.668 -91.9847 18.7039 1631.1333 1.0013
Flow -76.6258 30.8305 0.8903 -142.3904 -23.2173 943.9223 0.9997
Arc -2.2037 2.371 0.0511 -6.9619 2.2242 1728.9741 0.9997
