 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 2.8216 1.4035 0.0321 -0.1198 5.4146 1592.5103 1.0018
w_n_t_1 2.2869 0.6484 0.0127 1.0388 3.5819 2936.488 0.9998
w_a_t_1 1.8264 0.5638 0.0111 0.7138 2.8978 2805.688 0.9997
w_d_t_1 4.046 1039.2396 20.3573 -1952.053 2084.7666 3073.3323 0.9998
w_c_t_1 -4.0387 1.9891 0.0416 -7.7506 -0.0178 2213.4807 0.9997
y_c_t_1 -2.5443 2.2138 0.055 -7.0988 1.5827 1663.9955 1.0014
Node 2.5134 1.022 0.022 0.5859 4.526 2001.0729 1.0
Under_Supply -9.2509 2.0901 0.0582 -13.3608 -5.1451 1140.4756 1.001
Flow -2.2846 2.638 0.0659 -7.5999 2.653 1604.257 0.9998
Arc 0.4498 0.4831 0.0097 -0.4506 1.418 1895.212 0.9999
