 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -7.231 1.2443 0.0254 -9.7667 -4.8985 2448.2682 0.9998
w_n_t_1 2.1317 0.5178 0.0089 1.0818 3.0829 3044.0325 1.0004
w_a_t_1 1.6661 0.4326 0.0085 0.7944 2.48 2461.2353 0.9997
w_d_t_1 -3.3986 1020.8636 16.1348 -1867.2263 2094.186 3877.1054 0.9998
w_c_t_1 4.1928 2.4529 0.0599 -0.4449 9.1538 1786.4203 1.0004
y_c_t_1 1.797 2.3586 0.0484 -3.0959 6.1186 1914.3509 1.0001
Node -0.4612 0.5268 0.0102 -1.4326 0.6357 2205.6731 1.0001
Under_Supply -3.5674 1.6298 0.0421 -6.8239 -0.4791 1335.3905 1.0009
Flow 0.9423 2.2443 0.0561 -3.0236 5.6245 1368.4221 0.9999
Arc 0.2635 0.3563 0.0067 -0.3892 1.0022 2417.9436 0.9997
