 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.7283 1.0345 0.0242 -3.8741 0.1698 2106.1385 0.9997
w_n_t_1 0.6672 0.39 0.0076 -0.0483 1.4606 2925.1359 0.9997
w_a_t_1 2.577 0.4128 0.0064 1.7888 3.386 3319.8307 1.0
w_d_t_1 -6.885 1009.4353 19.8199 -2061.4383 1858.635 2753.8768 0.9999
w_c_t_1 1.6434 2.2857 0.0551 -2.9005 5.9636 1730.1582 0.9997
y_c_t_1 1.1268 1.9405 0.0381 -2.4935 4.9129 2359.7632 1.0
Node -0.05 0.4424 0.0085 -0.9241 0.7973 2064.7417 1.0003
Under_Supply -5.3805 1.5194 0.0388 -8.367 -2.3832 1336.3205 0.9998
Flow 0.3207 1.9205 0.0469 -3.5991 3.9486 1453.825 1.0005
Arc -0.2897 0.3276 0.0059 -0.949 0.3222 2990.2586 0.9997
