 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 0.3622 3.3377 0.0876 -6.4312 6.6225 1435.9404 1.0001
w_n_t_1 2.3868 0.6905 0.0161 1.075 3.7558 1937.7936 0.9999
w_a_t_1 2.7732 0.7211 0.0172 1.3497 4.1699 2044.3341 0.9997
w_d_t_1 -2.0667 0.4899 0.0106 -3.0567 -1.144 2157.9252 1.0002
w_c_t_1 1.5017 1.7737 0.0344 -1.8111 5.0975 2367.6075 0.9998
y_c_t_1 -3.2297 1.6795 0.0374 -6.4817 -0.0488 1956.0454 0.9997
Node -0.0423 0.7642 0.0178 -1.5329 1.4288 1781.1784 0.9997
Under_Supply -0.1818 3.3756 0.0867 -6.6861 6.5987 1517.4003 1.0004
Flow -0.1507 1.8182 0.0353 -3.8419 3.2443 2609.4852 1.0
Arc 2.2318 0.8043 0.0135 0.5877 3.7192 3233.4563 0.9999
