 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.5085 2.2991 0.0594 -4.9668 4.0255 1401.7157 0.9997
w_n_t_1 0.939 0.8541 0.0145 -0.7129 2.5759 2681.316 1.0
w_a_t_1 3.2567 0.502 0.0097 2.3149 4.2565 2740.5384 0.9999
w_d_t_1 -26.0741 984.5363 17.2675 -1893.733 1945.4873 2752.8934 1.0003
w_c_t_1 -4.523 3.1741 0.0758 -10.7324 1.6932 1732.8488 0.9998
y_c_t_1 4.5004 2.99 0.0713 -1.3297 10.3244 1710.1075 0.9998
Node 0.4676 1.0682 0.0253 -1.6454 2.5459 1760.703 1.0016
Under_Supply -8.4587 2.2008 0.0511 -12.843 -4.2849 1325.8727 0.9997
Flow -3.1953 2.4204 0.0487 -7.539 1.9315 1845.1576 1.0001
Arc 0.0907 0.49 0.0123 -0.8798 1.0149 1873.6169 0.9997
