 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.9971 0.9347 0.0206 -4.7245 -1.1419 2014.3839 0.9999
w_n_t_1 0.5401 0.5447 0.0088 -0.5083 1.5809 2599.1728 0.9997
w_a_t_1 0.8861 0.5029 0.0088 -0.0656 1.8781 2780.6954 0.9997
w_d_t_1 -1.4514 0.4448 0.0089 -2.33 -0.6172 2663.5766 1.0003
w_c_t_1 0.864 2.1488 0.0546 -3.1292 5.3104 1262.9784 1.0006
y_c_t_1 2.2105 1.8706 0.0424 -1.6831 5.6941 1581.1229 1.001
Node -0.1442 0.3864 0.007 -0.8894 0.615 2778.2701 0.9997
Under_Supply -3.8253 1.2918 0.0291 -6.1762 -1.2817 1839.9491 0.9997
Flow 2.1211 1.6009 0.0349 -0.949 5.1887 1952.2403 0.9997
Arc -0.3721 0.2972 0.0043 -0.966 0.2151 3333.7211 0.9997
