 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 0.5256 1.3409 0.0305 -1.9858 3.2249 1953.5833 1.0002
w_n_t_1 1.5081 0.616 0.0113 0.3004 2.6607 3188.0629 0.9997
w_a_t_1 4.0309 0.6315 0.0106 2.8544 5.2925 2741.0656 0.9997
w_d_t_1 -13.1069 994.365 18.3884 -1892.7612 1872.1714 3335.0258 0.9999
w_c_t_1 -2.5932 2.3452 0.058 -7.1682 2.0445 1615.5416 0.9999
y_c_t_1 -3.598 2.2476 0.0491 -8.0357 0.8105 1750.1 0.9997
Node 0.8509 0.5029 0.0093 -0.1105 1.875 2901.2557 0.9998
Under_Supply -0.975 1.3163 0.0326 -3.4748 1.6413 1607.7501 1.0008
Flow -3.0768 1.4509 0.0343 -5.7755 -0.0836 1780.6198 0.9998
Arc 0.0135 0.3485 0.0065 -0.6319 0.7014 3756.885 1.0
