 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.0288 1.2013 0.0273 -5.4221 -0.6408 1771.6292 0.9997
w_n_t_1 1.0174 0.4936 0.0102 0.0136 1.9817 2540.8761 1.0007
w_a_t_1 2.0088 0.3835 0.0062 1.2932 2.7609 2936.2386 0.9997
w_d_t_1 -19.7844 1013.5266 15.3571 -2000.6752 1997.226 3956.5095 0.9998
w_c_t_1 1.8158 2.1574 0.0473 -2.4469 5.8444 1717.8164 0.9997
y_c_t_1 1.4138 1.7865 0.0338 -2.1025 4.9043 2104.6633 0.9997
Node 0.3265 0.4768 0.0084 -0.5769 1.2595 2366.9779 1.0
Under_Supply -2.7418 1.4906 0.0376 -5.7264 0.1256 1291.1964 0.9999
Flow -1.9891 1.8658 0.0437 -5.5402 1.7494 1411.948 0.9999
Arc 0.2203 0.3023 0.0058 -0.3863 0.8113 2850.3336 1.0002
