 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -9.5961 1.8357 0.0753 -13.2373 -6.0726 513.4572 0.9998
w_n_t_1 -0.4251 0.6755 0.0233 -1.7449 0.9004 619.203 1.0009
w_a_t_1 3.7925 0.7395 0.0206 2.3337 5.2662 1110.2355 1.0001
w_d_t_1 -833.9562 604.2242 29.9692 -2016.9674 -2.8832 379.5457 1.008
w_c_t_1 5.666 2.4537 0.1087 0.7739 10.5424 408.2549 1.002
y_c_t_1 4.461 2.3098 0.0911 -0.041 8.8194 483.5757 1.0
Node -1.275 0.9916 0.0391 -3.2168 0.5738 386.8006 1.0134
Under_Supply -0.1203 2.4013 0.1212 -4.7238 4.7856 287.6035 1.0056
Flow -4.5939 3.4132 0.166 -11.0958 2.3295 326.887 1.0079
Arc 0.4405 0.5653 0.0244 -0.6723 1.5179 390.687 1.0016
