 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -8.7414 2.9583 0.0673 -14.4024 -2.9023 1573.5773 0.9997
w_n_t_1 2.624 1.1359 0.0243 0.3541 4.8254 2382.3775 0.9999
w_a_t_1 5.552 1.173 0.0264 3.3865 7.9449 2168.9652 1.0002
w_d_t_1 16.4196 1012.0402 20.1694 -2068.682 1946.7981 2449.0691 0.9997
w_c_t_1 3.724 4.681 0.1139 -5.1046 12.6729 1493.9659 0.9997
y_c_t_1 -2.533 3.7838 0.09 -9.9519 5.0277 1699.6201 0.9997
Node -0.4735 1.3037 0.0305 -2.9373 2.1447 1685.707 1.0008
Under_Supply -3.9498 2.7686 0.0717 -9.1883 1.3371 1319.1466 0.9997
Flow -0.7582 3.4321 0.0893 -7.2741 5.957 1411.3077 0.9999
Arc -0.7918 0.7042 0.0133 -2.2395 0.4855 2587.1757 0.9997
