 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -11.5282 3.7524 0.1045 -18.806 -4.2226 1424.3018 1.0009
w_n_t_1 6.8141 2.3982 0.0618 2.3361 11.6316 1459.4484 1.0013
w_a_t_1 4.0699 1.3026 0.0273 1.5871 6.6492 2469.3869 0.9997
w_d_t_1 -28.8997 1011.7165 16.9369 -1933.9461 1953.0976 3110.8642 1.0002
w_c_t_1 3.4514 5.53 0.1372 -7.0003 14.2217 1494.4832 0.9997
y_c_t_1 -4.7875 4.5764 0.1205 -13.4145 4.3633 1410.4147 1.0001
Node -1.2668 1.4477 0.0314 -4.117 1.5998 2322.7889 0.9997
Under_Supply -4.0128 3.6218 0.0985 -10.7291 3.4019 1551.227 1.0
Flow 1.801 4.6092 0.1186 -6.8901 10.5458 1703.0025 0.9999
Arc -0.5184 0.8596 0.0178 -2.1759 1.1146 2652.2513 1.0001
