 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -4.5732 4.2382 0.1171 -12.6459 3.817 1141.3228 0.9997
w_n_t_1 2.0861 1.5732 0.0285 -0.8011 5.3037 2750.5494 0.9997
w_a_t_1 5.0769 1.9337 0.0451 1.2392 8.8192 2052.176 0.9997
w_d_t_1 22.3377 1000.5742 18.8168 -2008.682 1893.861 2639.5157 1.0015
w_c_t_1 -4.1604 4.5407 0.1193 -12.6466 5.0145 1361.7247 0.9997
y_c_t_1 -0.0031 4.3069 0.1037 -7.9521 9.0779 1474.9162 0.9997
Node -1.3712 2.0603 0.0389 -5.521 2.5341 2025.4513 1.0001
Under_Supply -7.0389 4.8576 0.1458 -16.6857 2.2235 930.5865 0.9997
Flow 0.4406 5.3787 0.1452 -10.297 10.6071 1146.3736 0.9998
Arc -0.314 1.047 0.0212 -2.3977 1.7259 2482.9736 0.9998
