 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -16.4637 6.7126 0.1643 -29.0484 -2.8701 1591.7352 0.9998
w_n_t_1 -2.2366 1.5729 0.033 -5.5538 0.5805 2240.6399 1.0001
w_a_t_1 2.4061 1.2583 0.0244 -0.0209 4.8801 2053.9918 0.9997
w_d_t_1 -18.7677 978.1227 18.1062 -1748.8339 2016.5638 2931.612 0.9999
w_c_t_1 20.0666 8.4608 0.2303 3.2978 36.6418 1388.4637 0.9997
y_c_t_1 5.0532 5.8937 0.1203 -6.2 16.3503 2083.1176 1.0
Node 1.9352 2.771 0.0677 -3.3983 7.3632 1727.7867 0.9997
Under_Supply -22.0673 7.7832 0.1787 -37.0291 -6.9982 1638.0957 0.9998
Flow -9.1016 6.7898 0.1812 -22.3022 4.8673 1417.0485 0.9997
Arc 0.045 1.2078 0.0276 -2.2158 2.5759 1732.603 0.9999
