 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.9884 8.3995 0.2006 -18.2313 14.1749 1254.3366 1.0017
w_n_t_1 4.7601 3.8588 0.0994 -1.6924 12.859 1393.0862 1.0021
w_a_t_1 9.4196 4.0422 0.1061 2.9487 17.8394 1342.922 0.9999
w_d_t_1 6.535 1003.485 22.3128 -1993.661 1918.9034 2278.5497 1.0004
w_c_t_1 -2.9087 6.2952 0.1555 -15.8708 8.8748 1503.1474 0.9997
y_c_t_1 -13.9741 7.0486 0.1738 -27.4289 0.1408 1529.4704 1.004
Node -0.8264 3.135 0.0764 -6.9754 5.0176 1410.9604 0.9998
Under_Supply -13.9082 7.8482 0.229 -28.5002 0.5438 1103.4772 1.0068
Flow -0.6643 8.2604 0.2534 -16.4387 15.3712 1047.4483 1.0054
Arc 1.7247 1.5937 0.0434 -1.2806 4.9453 1381.0029 1.002
