 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.143 1.6137 0.0349 -4.1247 2.0902 2020.8092 1.0002
w_n_t_1 1.2185 0.7926 0.014 -0.1726 2.8885 3111.3256 1.0001
w_a_t_1 2.4271 0.693 0.0127 1.1627 3.8523 2628.7505 0.9997
w_d_t_1 -19.0086 1004.9814 16.3484 -1960.4437 1954.6268 3060.297 0.9997
w_c_t_1 1.6933 2.2694 0.046 -2.4695 6.477 2216.9008 0.9998
y_c_t_1 -2.8249 2.4387 0.0478 -7.6662 1.829 2240.2279 1.0004
Node 0.3823 1.1505 0.0222 -1.9897 2.5646 1995.2802 1.0001
Under_Supply -6.442 2.1401 0.0496 -10.375 -2.2122 1644.5321 0.9997
Flow -2.3234 2.9983 0.0716 -8.0082 3.558 1549.055 1.0003
Arc 0.9947 0.5392 0.011 -0.0619 2.0096 2075.1212 1.0006
