 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -6.1402 1.1022 0.0247 -8.1672 -3.8334 2023.3802 0.9997
w_n_t_1 2.5948 0.5039 0.0103 1.596 3.5728 2478.9271 0.9997
w_a_t_1 1.9353 0.4719 0.0096 0.9591 2.7988 2405.653 0.9997
w_d_t_1 1.7095 1000.0829 18.3957 -1958.9402 2012.5761 3169.713 1.0002
w_c_t_1 3.1191 1.3866 0.0302 0.564 5.8959 2131.3868 1.0
y_c_t_1 5.634 1.24 0.0293 3.2725 8.1825 2136.1728 1.0001
Node -0.2476 0.4927 0.0111 -1.1955 0.7287 2343.6198 0.9999
Under_Supply -2.807 1.3895 0.0319 -5.6814 -0.1741 1824.9076 0.9997
Flow -2.6906 1.8314 0.0424 -6.317 1.0215 1796.5052 0.9997
Arc -0.5297 0.3879 0.0074 -1.2819 0.2405 2829.7314 0.9999
