 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -798.7383 585.7587 47.4892 -1931.8066 5.5874 86.7765 1.0026
w_n_t_1 791.4605 586.5518 47.6338 -4.8101 1914.6924 88.2569 1.003
w_a_t_1 3.0084 1.6579 0.0866 -0.3781 6.0746 262.0143 0.9997
w_d_t_1 65.3733 1033.8566 63.6083 -1826.4468 2300.6308 111.7474 1.0107
w_c_t_1 -1.541 21.3192 1.4747 -41.4899 40.9325 119.0149 1.0201
y_c_t_1 6.1018 10.0967 0.6244 -15.6522 24.5217 196.4158 1.003
Node -3.4074 5.5556 0.3725 -13.9046 7.2967 108.2198 1.0
Under_Supply -220.369 74.6569 5.6681 -382.0809 -82.3773 61.3067 1.0293
Flow 16.6786 10.9088 0.7488 -5.0597 39.353 106.7962 1.0172
Arc -1.1788 2.2161 0.1333 -6.0222 2.8467 217.2511 1.0056
