 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 1.2555 1.4857 0.0368 -1.7069 4.0756 1600.1911 0.9997
w_n_t_1 -0.6635 0.7713 0.0137 -2.1248 0.9459 2929.6838 0.9997
w_a_t_1 2.4211 0.5557 0.0105 1.3318 3.5035 2838.3606 1.0007
w_d_t_1 -1.8758 0.3979 0.0058 -2.6328 -1.0796 3267.4287 0.9997
w_c_t_1 1.6257 2.0386 0.0465 -2.2193 5.559 2278.6491 1.0002
y_c_t_1 -3.7344 2.1596 0.0474 -8.0596 0.2712 2210.9816 0.9999
Node 2.2963 0.9788 0.0242 0.3359 4.1368 1680.4232 0.9998
Under_Supply -5.855 1.8748 0.0448 -9.4468 -2.2581 1437.7568 0.9999
Flow -2.6312 2.3991 0.0544 -7.2134 2.2392 1835.766 0.9998
Arc 1.0616 0.443 0.0091 0.1887 1.9076 1982.2108 0.9998
