 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.5765 4.4616 0.0988 -11.9702 5.5861 1374.459 1.0001
w_n_t_1 0.8561 1.7655 0.0355 -2.3959 4.3808 2405.4242 0.9997
w_a_t_1 3.1483 1.2231 0.024 0.8171 5.55 2290.1279 0.9997
w_d_t_1 -15.8779 1014.7742 19.8742 -2150.5088 1807.8985 2518.6171 1.0006
w_c_t_1 3.0972 5.8712 0.1245 -8.3792 14.1236 1544.3498 1.0
y_c_t_1 -6.0431 5.5404 0.1154 -16.1912 5.1496 2099.5557 0.9997
Node 1.4644 2.4701 0.0689 -3.1739 6.4677 1522.0128 0.9997
Under_Supply -16.7247 5.2383 0.122 -27.23 -6.8923 1364.2667 1.0011
Flow 1.4083 5.4788 0.151 -9.9837 11.6701 1350.9382 1.0
Arc 0.4564 0.8869 0.0207 -1.2385 2.2647 1795.5566 1.0001
