 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 0.8563 2.3536 0.048 -3.6322 5.6872 1917.3335 1.0003
w_n_t_1 1.6759 0.9794 0.0164 -0.1937 3.6284 3178.8681 0.9997
w_a_t_1 4.4658 1.0379 0.0191 2.469 6.5141 2968.8574 0.9997
w_d_t_1 9.2778 971.5756 14.3383 -1783.5085 2006.257 4132.9137 0.9997
w_c_t_1 -7.1601 2.686 0.0653 -12.2932 -1.8413 1925.7935 0.9997
y_c_t_1 -1.7247 2.6229 0.0518 -6.9284 3.2388 2220.0033 1.0002
Node -0.3796 1.27 0.0269 -2.7077 2.2172 2055.464 0.9997
Under_Supply -5.6443 3.0992 0.0862 -11.3946 0.7247 1299.633 0.9997
Flow -1.1388 3.8863 0.1088 -8.9334 6.2244 1410.9794 0.9997
Arc 0.289 0.6689 0.0126 -1.0558 1.5558 2812.203 0.9998
