 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -4.7386 4.267 0.1369 -13.3003 3.2279 1106.3068 0.9997
w_n_t_1 2.8674 1.8531 0.0487 -0.487 6.7022 1427.5159 0.9999
w_a_t_1 2.4916 0.8855 0.0206 0.7773 4.2573 1893.5439 1.0
w_d_t_1 -1.3304 1.4013 0.0324 -4.101 1.2568 1974.3431 1.0
w_c_t_1 -1.0057 4.3468 0.1366 -9.3731 7.528 1180.9119 0.9997
y_c_t_1 -1.8503 3.6936 0.1024 -9.002 5.7222 1388.9934 1.0014
Node -1.9067 1.7133 0.0486 -5.3007 1.2937 1588.1083 0.9997
Under_Supply -13.0884 4.0222 0.1336 -21.5825 -5.7138 1040.9895 0.9999
Flow 6.3728 3.8312 0.1099 -0.9637 13.9707 1383.5019 1.0
Arc -1.2681 0.8951 0.0245 -3.1089 0.3256 1492.4217 1.0002
