 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.1172 1.5744 0.0382 -5.1559 1.1218 1596.8882 1.0011
w_n_t_1 -0.0983 0.2872 0.0057 -0.6915 0.4331 2837.2995 0.9997
w_a_t_1 0.2965 0.3145 0.0058 -0.2746 0.942 2353.8537 0.9997
w_d_t_1 19.6757 978.4451 17.3675 -1888.8231 1887.4665 2829.6454 0.9997
w_c_t_1 0.3549 2.5832 0.068 -4.4374 5.5995 1358.2044 0.9998
y_c_t_1 0.4407 2.3261 0.0555 -4.0204 4.9516 1721.8827 0.9997
Node 1.4874 0.7515 0.014 0.1036 3.0144 2238.4938 0.9998
Under_Supply -4.923 1.857 0.0492 -9.0209 -1.6105 1250.9366 0.9997
Flow 1.3043 2.1965 0.0519 -2.7893 5.7614 1360.6122 0.9999
Arc -0.3225 0.3895 0.008 -1.0589 0.4396 2079.5576 1.0003
