 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.1582 1.0827 0.024 -4.1511 0.0327 2167.894 0.9998
w_n_t_1 0.2377 0.342 0.0052 -0.396 0.9283 3436.2281 0.9998
w_a_t_1 0.3097 0.3745 0.0065 -0.3814 1.0887 3058.0781 0.9998
w_d_t_1 -0.7658 968.573 15.1544 -1866.5165 1952.1007 3457.1563 0.9997
w_c_t_1 -1.2273 2.1891 0.0543 -5.6024 2.9356 1679.9259 0.9997
y_c_t_1 4.5574 2.1766 0.0516 0.5138 8.9948 1861.781 0.9997
Node 0.0281 0.3936 0.0088 -0.7863 0.7662 1994.5977 0.9997
Under_Supply -2.1039 1.3921 0.0351 -4.9062 0.4495 1433.2679 0.9997
Flow 0.6583 1.6208 0.0405 -2.3509 3.8325 1576.0837 0.9997
Arc 0.0977 0.3211 0.0062 -0.563 0.7084 2731.3605 0.9998
