 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.3327 1.298 0.0316 -3.0371 2.0547 1901.4511 1.0002
w_n_t_1 3.2883 0.7416 0.0132 1.8951 4.7938 3048.5096 0.9999
w_a_t_1 3.6169 0.6913 0.0123 2.2849 5.0002 3119.3035 0.9997
w_d_t_1 -5.8908 990.8954 16.1394 -1884.7819 2007.5287 3233.4523 1.0
w_c_t_1 -0.8366 1.9092 0.0403 -4.6183 2.8603 2369.5027 0.9999
y_c_t_1 -1.5578 2.0818 0.0406 -5.7787 2.1981 2333.9404 0.9998
Node 0.0813 0.8202 0.0186 -1.5051 1.698 2223.7764 0.9997
Under_Supply -7.7227 1.8013 0.0376 -11.1568 -4.3561 1957.6686 1.0006
Flow -0.8357 2.3617 0.0511 -5.6124 3.6325 1991.5336 0.9999
Arc -0.3473 0.4414 0.0069 -1.2347 0.5247 3438.7761 0.9997
