 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -927.4157 330.1716 16.4302 -1579.7311 -340.0595 362.9556 1.0003
w_n_t_1 21.5753 30.0102 1.3043 -35.7083 80.2425 443.2537 0.9997
w_a_t_1 -58.6256 35.4751 1.2815 -138.3364 4.7003 630.5752 1.0001
w_d_t_1 -14.5308 948.5368 24.894 -1775.0924 1895.2441 1431.3211 1.0005
w_c_t_1 470.9634 230.1202 9.8062 77.4102 938.3903 579.6293 1.0015
y_c_t_1 843.2691 353.7171 16.9235 176.2376 1545.6947 361.544 0.9997
Node 17.5276 67.2885 1.9786 -116.8012 145.3444 1162.131 1.0001
Under_Supply -2709.3085 654.4669 26.0757 -3975.6746 -1407.3158 577.8095 0.9997
Flow -201.8466 174.6663 7.4673 -551.2965 144.8219 480.0342 0.9997
Arc -77.8713 27.612 1.3274 -130.5418 -28.1723 363.8329 0.9997
