 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -9.721 1.9725 0.0514 -13.6954 -6.0447 1465.3901 0.9997
w_n_t_1 3.7986 1.0449 0.0224 1.8769 5.9073 1900.099 0.9997
w_a_t_1 3.4963 0.7616 0.0193 2.0403 5.0092 1801.5697 0.9999
w_d_t_1 -4.672 993.954 17.9203 -2077.6415 1817.5252 2674.1903 0.9997
w_c_t_1 4.0437 3.329 0.0938 -2.2577 10.6679 1264.6619 1.0
y_c_t_1 1.2661 2.7994 0.0705 -4.0999 6.8116 1668.5763 1.0
Node -0.2251 0.867 0.0188 -1.904 1.4621 1994.3818 1.0001
Under_Supply 0.0262 1.7398 0.0513 -3.407 3.3957 1097.4589 0.9998
Flow -4.9499 2.1184 0.0616 -9.3337 -0.937 1132.7131 0.9998
Arc 0.1322 0.4964 0.0106 -0.8289 1.086 2085.0985 1.0002
