 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -26.1228 6.4302 0.1485 -38.8319 -14.0509 1782.5453 0.9998
w_n_t_1 4.8842 2.751 0.0577 -0.3801 10.1937 2212.2301 0.9997
w_a_t_1 1.6653 1.5994 0.034 -1.3803 4.9067 2197.1625 1.0
w_d_t_1 1.1431 987.9828 18.99 -1838.3702 1958.0588 2864.7471 1.0006
w_c_t_1 15.0917 6.9459 0.1494 2.1316 28.5151 1981.5444 0.9997
y_c_t_1 6.9142 5.623 0.1064 -3.6469 18.1076 2275.3557 1.0004
Node -3.0651 2.1871 0.0457 -7.0326 1.6325 1755.3151 1.0
Under_Supply -7.3791 4.5053 0.1049 -16.1668 1.1725 1504.2456 1.0
Flow 2.8696 6.0252 0.1392 -9.7749 13.7733 1450.4537 1.0001
Arc -3.0138 1.1457 0.0236 -5.2833 -0.8755 2170.1029 0.9999
