 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.7731 1.2899 0.0261 -5.3373 -0.3377 2162.9459 0.9997
w_n_t_1 2.2708 0.4852 0.009 1.3342 3.2202 2658.0014 0.9998
w_a_t_1 2.2667 0.5561 0.0103 1.2489 3.4571 2926.9493 0.9997
w_d_t_1 -0.3342 0.3911 0.0067 -1.0972 0.4476 2816.4817 0.9998
w_c_t_1 4.4608 1.9598 0.045 0.6716 8.3699 2130.7521 1.0005
y_c_t_1 0.5637 1.9457 0.043 -3.2277 4.374 2186.7853 1.0019
Node -0.6619 0.4682 0.0101 -1.5369 0.2698 2132.0206 0.9998
Under_Supply -4.1151 1.8543 0.0477 -8.0089 -0.726 1443.1606 1.0001
Flow -0.0758 1.6596 0.0418 -3.4944 2.9714 1549.9245 1.0002
Arc 0.3191 0.3892 0.0078 -0.4485 1.0518 2765.4626 0.9998
