 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -12.7791 11.581 0.268 -34.5261 9.8098 1509.6937 1.0025
w_n_t_1 -0.5629 1.4144 0.0331 -3.3933 2.2939 1624.3633 1.0009
w_a_t_1 3.0348 1.5829 0.0387 0.1152 6.2104 1599.3951 0.9999
w_d_t_1 -2.8695 990.3153 19.4208 -1911.743 1859.9341 2652.1186 1.0001
w_c_t_1 23.1625 14.0425 0.3467 -2.5202 51.598 1521.7788 0.9999
y_c_t_1 -3.164 12.8311 0.3035 -26.6876 22.7001 1520.2502 1.0024
Node -1.0467 5.2856 0.1327 -11.4551 8.9426 1466.413 1.0009
Under_Supply -90.6412 26.1123 0.6896 -140.9608 -42.9967 1417.9745 0.9997
Flow -2.603 12.6641 0.3044 -28.0807 22.08 1704.1188 0.9997
Arc -0.3115 1.823 0.0391 -3.7432 3.4721 1881.3076 1.0
