 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.1168 0.9868 0.0172 -5.149 -1.2023 2736.4698 0.9998
w_n_t_1 1.4286 0.4406 0.0076 0.5607 2.2552 3265.6692 1.0
w_a_t_1 0.761 0.3544 0.0064 0.0893 1.4545 2958.1501 0.9997
w_d_t_1 1.4517 988.9682 12.3868 -1875.3429 1959.5143 4281.7581 0.9997
w_c_t_1 -0.4198 1.7965 0.0419 -3.7088 3.415 1680.3533 0.9997
y_c_t_1 3.8307 1.7674 0.0383 0.2971 7.1919 2264.9207 0.9997
Node -0.0015 0.3851 0.0092 -0.7689 0.7481 1652.5762 1.0001
Under_Supply -4.3231 1.5814 0.0389 -7.4327 -1.2691 1494.8942 1.0006
Flow 2.2744 1.8418 0.042 -1.4559 5.7851 1693.8467 1.0
Arc -0.6162 0.3194 0.0059 -1.2404 0.0072 3545.3452 0.9997
