 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.5456 1.2848 0.0258 -5.1714 -0.0922 2196.2832 0.9999
w_n_t_1 1.7236 0.655 0.0108 0.3356 2.9228 3152.6774 1.0003
w_a_t_1 5.5026 0.7328 0.0144 4.1605 7.0219 2860.5667 1.0
w_d_t_1 -8.389 986.8861 16.1526 -1844.009 2043.1952 3589.7529 1.0015
w_c_t_1 1.8948 2.3945 0.0517 -2.729 6.6013 1807.6 0.9997
y_c_t_1 -2.1539 2.2192 0.0444 -6.5148 2.228 2064.085 0.9999
Node 0.1277 0.5777 0.012 -0.9729 1.2438 2765.7297 0.9997
Under_Supply -1.5778 1.6875 0.0427 -4.8952 1.7153 1399.9981 0.9999
Flow -4.9073 2.2641 0.0556 -9.1307 -0.4528 1574.5556 0.9997
Arc 0.641 0.3622 0.0056 -0.0658 1.3432 3896.9219 0.9997
