 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -9.873 1.3882 0.0338 -12.7465 -7.226 1684.3037 1.0001
w_n_t_1 1.6505 0.4927 0.0073 0.6885 2.5993 4678.1347 0.9998
w_a_t_1 1.6648 0.4513 0.0083 0.7585 2.5465 3204.5862 1.0013
w_d_t_1 18.2217 1024.5616 17.7058 -1858.7436 2031.4206 3649.0864 0.9997
w_c_t_1 7.5566 2.7759 0.081 2.417 13.1701 1356.1521 1.0006
y_c_t_1 2.625 2.5045 0.0633 -2.221 7.5358 1607.3671 1.0005
Node 0.6428 0.599 0.0131 -0.5144 1.8359 2183.1794 1.0015
Under_Supply -0.6404 1.6063 0.0448 -3.7083 2.4937 1414.5391 1.0003
Flow -2.5584 2.2181 0.0586 -6.689 2.0057 1481.0287 1.0002
Arc -0.1847 0.4049 0.007 -0.9594 0.6194 2810.4164 0.9997
