 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.663 0.8732 0.0179 -2.3694 1.0459 2621.5667 1.0
w_n_t_1 2.6164 0.6174 0.0103 1.3872 3.8113 2990.8304 1.0002
w_a_t_1 3.3258 0.6333 0.0124 2.1498 4.6215 2559.1364 1.0006
w_d_t_1 -1.399 0.2946 0.0059 -1.9714 -0.8318 2359.2154 0.9998
w_c_t_1 0.8591 1.4455 0.0346 -1.9354 3.7825 1833.3204 0.9997
y_c_t_1 0.6366 1.3705 0.0286 -1.9965 3.2874 2123.5546 1.001
Node -1.391 0.5437 0.0097 -2.4603 -0.3141 2736.9561 0.9997
Under_Supply -5.4181 1.5472 0.0344 -8.4624 -2.5269 1596.0586 0.9998
Flow -1.8527 1.9613 0.0405 -5.629 1.8281 1721.8623 0.9997
Arc -0.3775 0.3816 0.0078 -1.0784 0.3886 2784.4217 0.9998
