 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -99.8098 38.5258 1.6531 -179.2394 -29.4767 380.7454 1.0018
w_n_t_1 -7.4407 4.6348 0.1907 -17.4355 0.8165 532.8757 0.9999
w_a_t_1 -2.1524 3.2864 0.0984 -8.5482 4.019 1096.7652 1.0
w_d_t_1 -756.6936 590.5597 22.0165 -1922.9221 17.4024 722.2268 0.9998
w_c_t_1 86.917 36.4341 1.6116 18.6797 161.045 397.5388 1.001
y_c_t_1 28.9749 22.9225 0.8268 -11.7821 78.5179 714.7275 1.0004
Node -6.9747 8.9014 0.2763 -24.172 10.9715 905.179 1.0048
Under_Supply -188.704 66.0623 2.4945 -315.7914 -59.7129 766.7628 1.004
Flow 24.5575 17.7509 0.7436 -10.5116 57.931 607.6516 1.0035
Arc -1.8784 2.0717 0.0556 -6.1335 1.9594 1333.8018 1.0021
