 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.9197 2.1172 0.044 -5.0127 3.1461 2443.7162 1.0003
w_n_t_1 -0.6361 0.5069 0.0112 -1.6125 0.3156 2712.9112 0.9997
w_a_t_1 -0.562 0.4482 0.0091 -1.409 0.3438 2690.1846 1.0007
w_d_t_1 7.0127 1000.1102 18.13 -2028.475 1855.1405 3430.4829 0.9999
w_c_t_1 6.831 2.3146 0.0526 2.1161 11.1706 1716.0226 1.0
y_c_t_1 -3.0476 2.2654 0.0514 -7.4433 1.5414 1853.2584 0.9998
Node -1.3715 0.6224 0.0158 -2.6125 -0.1906 1527.5323 1.0001
Under_Supply -4.2772 2.6807 0.0694 -9.7932 0.7435 1395.9531 1.0001
Flow 4.0993 2.8712 0.0663 -1.0666 9.9719 1671.252 0.9997
Arc 0.8343 0.5009 0.0102 -0.1086 1.8417 2336.5272 1.0
