 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.0413 1.4273 0.0341 -3.7419 1.7982 1442.3253 0.9998
w_n_t_1 2.0132 0.619 0.0111 0.8642 3.3032 2782.0505 0.9997
w_a_t_1 3.2555 0.6273 0.0117 2.0675 4.5109 2788.5986 0.9997
w_d_t_1 -14.6948 975.4626 17.0927 -2021.5895 1829.4732 3044.8316 0.9998
w_c_t_1 0.3724 2.1379 0.0555 -3.7342 4.692 1428.3602 1.0006
y_c_t_1 -0.4318 2.1871 0.0471 -5.0057 3.5588 2111.9456 1.0005
Node 0.6299 1.0212 0.0197 -1.3922 2.5331 1741.6071 0.9997
Under_Supply -5.5853 1.705 0.042 -8.8695 -2.252 1545.0557 0.9999
Flow -4.7599 2.3292 0.0491 -8.9205 0.1463 1983.1649 0.9999
Arc -0.007 0.4703 0.0086 -0.9516 0.8822 2140.3539 0.9998
