 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -31.2092 8.2344 0.2179 -48.0575 -15.3206 1310.6323 0.9998
w_n_t_1 0.6406 1.7725 0.0399 -2.7665 4.1089 2142.8682 0.9997
w_a_t_1 2.4648 1.3283 0.027 -0.0585 5.0815 2711.1086 0.9997
w_d_t_1 14.1153 1027.9676 22.7289 -2026.1034 1954.4489 1984.2477 0.9998
w_c_t_1 23.1817 8.8727 0.2457 4.7587 40.2672 1292.9845 0.9997
y_c_t_1 12.1617 5.6264 0.1257 1.3123 23.4028 1871.6416 0.9997
Node -2.6051 2.006 0.0471 -6.2913 1.5832 1515.9136 0.9997
Under_Supply -2.4552 5.9936 0.1877 -14.3097 9.2776 974.517 0.9998
Flow -6.9615 6.7724 0.2099 -19.604 5.9608 976.056 0.9997
Arc -0.2678 0.8311 0.0173 -1.9485 1.3308 1879.7817 0.9997
