 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -20.2826 21.2475 0.5237 -62.1592 21.5736 1352.016 0.9997
w_n_t_1 -0.4237 1.5929 0.0368 -3.4186 2.7965 2047.5886 0.9997
w_a_t_1 2.7603 2.0802 0.0553 -1.0095 7.0288 1632.8278 0.9997
w_d_t_1 31.1658 1055.5699 19.0675 -2005.9545 2069.6368 2439.3382 0.9998
w_c_t_1 9.7893 23.5565 0.6232 -37.5553 54.5153 1275.6969 1.0006
y_c_t_1 4.6968 15.6605 0.3489 -24.959 35.6363 1783.2541 1.0023
Node -3.2627 5.4114 0.1306 -13.3519 7.7581 1537.9828 1.0004
Under_Supply -169.1473 50.9821 1.2754 -265.7745 -71.3748 1491.167 1.0014
Flow 20.1079 12.3885 0.3218 -3.2035 44.7949 1293.6761 1.002
Arc -1.1115 1.701 0.0444 -4.3192 2.3049 1597.5134 1.0001
