 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -4.2554 0.7898 0.0138 -5.7826 -2.7731 2668.2591 0.9997
w_n_t_1 2.2698 0.6039 0.0114 1.0332 3.4027 2970.0081 0.9997
w_a_t_1 2.5086 0.5761 0.0099 1.3836 3.6416 2724.9672 0.9997
w_d_t_1 -1.3699 0.3193 0.0054 -1.9682 -0.6996 3257.7958 0.9997
w_c_t_1 2.1355 1.5524 0.0314 -0.7556 5.2723 2390.2868 0.9997
y_c_t_1 -0.8004 1.5353 0.0313 -3.9461 2.0411 2236.8488 1.0
Node -0.2844 0.4062 0.0075 -1.0874 0.5018 2520.0104 1.0002
Under_Supply -1.2238 1.1936 0.0271 -3.4408 1.1709 1680.8015 1.0027
Flow 0.17 1.5251 0.0355 -2.5513 3.3145 1744.9132 1.0022
Arc 0.1347 0.3425 0.0064 -0.5137 0.8241 2833.7391 0.9998
