 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 2.1928 2.3142 0.0664 -2.2555 6.6962 1227.6764 1.0031
w_n_t_1 1.1172 0.3485 0.0071 0.4537 1.8355 2326.8778 1.0004
w_a_t_1 1.5051 0.4004 0.0078 0.7248 2.2825 2787.8033 0.9998
w_d_t_1 20.9064 1014.0966 18.3485 -1981.0299 1997.4781 2841.5169 1.0005
w_c_t_1 -4.7104 3.3857 0.0999 -11.7512 1.224 953.0771 1.0049
y_c_t_1 -1.0591 2.819 0.0542 -6.5564 4.4251 1775.4444 1.0
Node 1.4703 1.1758 0.0272 -0.9186 3.5302 1702.6787 0.9997
Under_Supply -13.9143 2.9927 0.083 -19.9982 -8.0983 1139.4836 1.0018
Flow 4.4698 2.8931 0.0675 -1.3401 9.8964 1377.0332 1.001
Arc 0.5303 0.5103 0.0126 -0.4528 1.5331 1843.5586 0.9997
