 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -0.2724 9.1341 0.2702 -18.8857 17.0866 1300.4381 0.9997
w_n_t_1 -2.9271 2.6188 0.0669 -8.0199 2.1758 1560.5823 0.9997
w_a_t_1 -0.1338 2.0859 0.0418 -4.1106 3.9797 2230.0475 0.9997
w_d_t_1 -39.2257 1040.6727 19.7886 -2185.1188 1878.5021 2513.1635 0.9997
w_c_t_1 11.1918 10.3116 0.3015 -8.4202 32.1015 1236.2675 0.9999
y_c_t_1 -4.0593 8.9528 0.2383 -20.9666 14.248 1528.6198 0.9998
Node 9.924 4.9975 0.1432 0.4286 19.81 1115.27 1.0003
Under_Supply -59.4861 16.5535 0.4144 -91.13 -27.9277 1509.3336 1.0002
Flow -8.179 10.7303 0.3108 -29.7017 11.7 1133.7979 1.0017
Arc 1.1945 1.486 0.0418 -1.6932 4.1393 1277.6156 1.0004
